id|Commune|Latitude|Longitude
547958|Chauffayer|44.7561786|6.0069913
14761317|La Godivelle|45.3884328|2.9224185
17330422|Saint-Cirgues-de-Jordanne|45.0283951|2.5811651
17805591|Mazoires|45.3940794|3.0444467
17807753|Paris|48.8534951|2.3483915
17866210|Chastreix|45.5122630|2.7341482
17882475|Aydat|45.6609027|2.9757079
18306751|Wissembourg|49.0365935|7.9445109
19109284|Saint-Mesmes|48.9845027|2.6963878
20626319|Lyon|45.7578137|4.8320114
20986499|La Chapelle-Bertin|45.2189925|3.6488954
21465153|Sainte-Hélène|44.9664165|-0.8834238
25251604|Ternand|45.9441933|4.5288106
26638988|Digosville|49.6311797|-1.5257070
26638997|Saint-Pierre-Église|49.6679883|-1.4046471
26639004|Barfleur|49.6706815|-1.2644272
26639005|Carneville|49.6657068|-1.4507299
26639007|Maupertus-sur-Mer|49.6590054|-1.4872352
26639178|Le Theil|49.6098947|-1.4708070
26639180|Bretteville|49.6557634|-1.5199361
26686463|Metz|49.1196964|6.1763552
26686468|Tours|47.3900474|0.6889268
26686473|Clermont-Ferrand|45.7774551|3.0819427
26686477|Reims|49.2577886|4.0319260
26686504|Dijon|47.3215806|5.0414701
26686508|Orléans|47.9027336|1.9086066
26686514|Amiens|49.8941708|2.2956951
26686518|Toulouse|43.6044622|1.4442469
26686524|Limoges|45.8354243|1.2644847
26686526|Rennes|48.1113387|-1.6800198
26686539|Saint-Étienne|45.4401467|4.3873058
26686548|Nantes|47.2186371|-1.5541362
26686554|Besançon|47.2380222|6.0243622
26686559|Le Mans|48.0073849|0.1967849
26686563|Strasbourg|48.5846140|7.7507127
26686568|Mulhouse|47.7467233|7.3389937
26686572|Angers|47.4739884|-0.5515588
26686577|Lille|50.6365654|3.0635282
26686582|Toulon|43.1257311|5.9304919
26686585|Nîmes|43.8374249|4.3600687
26686587|Rouen|49.4404591|1.0939658
26686589|Grenoble|45.1875602|5.7357819
26686593|Boulogne-Billancourt|48.8356649|2.2402060
26686595|Aix-en-Provence|43.5298424|5.4474738
26691381|Saint-Brieuc|48.5141134|-2.7603283
26691384|Bois-d'Arcy|48.7998560|2.0236070
26691385|Châteaubriant|47.7194057|-1.3757282
26691386|Saverne|48.7419909|7.3625953
26691387|Gonesse|48.9863555|2.4500537
26691388|Douarnenez|48.0944459|-4.3311243
26691389|Montluçon|46.3400296|2.6073963
26691390|Arcueil|48.8064996|2.3366502
26691391|Moissy-Cramayel|48.6272298|2.5937073
26691393|Foix|42.9638998|1.6053807
26691394|Montmagny|48.9728571|2.3435610
26691395|Nœux-les-Mines|50.4808898|2.6620888
26691397|Saint-André-lez-Lille|50.6608000|3.0446800
26691399|Blanquefort|44.9088982|-0.6300363
26691400|Le Mée-sur-Seine|48.5381859|2.6335912
26691402|Dax|43.7084065|-1.0518771
26691404|Échirolles|45.1481694|5.7186870
26691406|Villepinte|48.9636566|2.5347541
26691407|Hendaye|43.3641518|-1.7616499
26691408|Sablé-sur-Sarthe|47.8400712|-0.3352048
26691412|Tournefeuille|43.5827846|1.3466543
26691414|Pierrelatte|44.3778474|4.6976609
26691415|Armentières|50.6867281|2.8821690
26691416|Coudekerque-Branche|51.0208780|2.3894321
26691417|Chatou|48.8897044|2.1573695
